country,parameter,value,rating
Afghanistan,Purchasing Power Index,28.69,Very Low
Afghanistan,Safety Index,27.15,Low
Afghanistan,Health Care Index,27.17,Low
Afghanistan,Climate Index,,
Afghanistan,Cost of Living Index,24.25,Very Low
Afghanistan,Property Price to Income Ratio,14.02,High
Afghanistan,Traffic Commute Time Index,56.17,High
Afghanistan,Pollution Index,91.94,Very High
Afghanistan,Quality of Life Index,,
Aland Islands,Purchasing Power Index,121.89,Very High
Aland Islands,Safety Index,82.26,Very High
Aland Islands,Health Care Index,87.27,Very High
Aland Islands,Climate Index,,
Aland Islands,Cost of Living Index,75.36,Moderate
Aland Islands,Property Price to Income Ratio,3.85,Very Low
Aland Islands,Traffic Commute Time Index,19.05,Very Low
Aland Islands,Pollution Index,10.78,Very Low
Aland Islands,Quality of Life Index,,
Albania,Purchasing Power Index,31.35,Very Low
Albania,Safety Index,60.42,High
Albania,Health Care Index,53.03,Moderate
Albania,Climate Index,86.43,Very High
Albania,Cost of Living Index,36.29,Very Low
Albania,Property Price to Income Ratio,15.36,High
Albania,Traffic Commute Time Index,40.20,Moderate
Albania,Pollution Index,77.09,High
Albania,Quality of Life Index,102.29,Moderate
Algeria,Purchasing Power Index,32.09,Very Low
Algeria,Safety Index,45.95,Moderate
Algeria,Health Care Index,55.45,Moderate
Algeria,Climate Index,94.82,Very High
Algeria,Cost of Living Index,30.02,Very Low
Algeria,Property Price to Income Ratio,19.30,Very High
Algeria,Traffic Commute Time Index,47.20,High
Algeria,Pollution Index,65.65,High
Algeria,Quality of Life Index,99.93,Moderate
Andorra,Purchasing Power Index,,
Andorra,Safety Index,82.31,Very High
Andorra,Health Care Index,80.56,Very High
Andorra,Climate Index,,
Andorra,Cost of Living Index,,
Andorra,Property Price to Income Ratio,8.18,Moderate
Andorra,Traffic Commute Time Index,5.00,Very Low
Andorra,Pollution Index,36.42,Low
Andorra,Quality of Life Index,,
Angola,Purchasing Power Index,44.58,Very Low
Angola,Safety Index,35.14,Low
Angola,Health Care Index,40.97,Moderate
Angola,Climate Index,,
Angola,Cost of Living Index,101.86,High
Angola,Property Price to Income Ratio,10.43,Moderate
Angola,Traffic Commute Time Index,64.00,Very High
Angola,Pollution Index,97.39,Very High
Angola,Quality of Life Index,,
Antigua And Barbuda,Purchasing Power Index,,
Antigua And Barbuda,Safety Index,32.72,Low
Antigua And Barbuda,Health Care Index,,
Antigua And Barbuda,Climate Index,,
Antigua And Barbuda,Cost of Living Index,,
Antigua And Barbuda,Property Price to Income Ratio,26.91,Very High
Antigua And Barbuda,Traffic Commute Time Index,,
Antigua And Barbuda,Pollution Index,37.93,Low
Antigua And Barbuda,Quality of Life Index,,
Argentina,Purchasing Power Index,50.87,Low
Argentina,Safety Index,37.04,Low
Argentina,Health Care Index,69.81,High
Argentina,Climate Index,98.28,Very High
Argentina,Cost of Living Index,37.61,Very Low
Argentina,Property Price to Income Ratio,19.93,Very High
Argentina,Traffic Commute Time Index,42.09,Moderate
Argentina,Pollution Index,51.99,Moderate
Argentina,Quality of Life Index,120.15,High
Armenia,Purchasing Power Index,30.01,Very Low
Armenia,Safety Index,78.59,High
Armenia,Health Care Index,48.69,Moderate
Armenia,Climate Index,63.42,High
Armenia,Cost of Living Index,32.51,Very Low
Armenia,Property Price to Income Ratio,16.12,Very High
Armenia,Traffic Commute Time Index,31.35,Low
Armenia,Pollution Index,60.94,High
Armenia,Quality of Life Index,116.25,High
Aruba,Purchasing Power Index,,
Aruba,Safety Index,70.98,High
Aruba,Health Care Index,70.83,High
Aruba,Climate Index,,
Aruba,Cost of Living Index,,
Aruba,Property Price to Income Ratio,,
Aruba,Traffic Commute Time Index,120.00,Very High
Aruba,Pollution Index,24.43,Low
Aruba,Quality of Life Index,,
Australia,Purchasing Power Index,116.09,Very High
Australia,Safety Index,57.49,Moderate
Australia,Health Care Index,76.96,High
Australia,Climate Index,94.20,Very High
Australia,Cost of Living Index,72.55,Moderate
Australia,Property Price to Income Ratio,7.62,Moderate
Australia,Traffic Commute Time Index,35.50,Moderate
Australia,Pollution Index,23.09,Low
Australia,Quality of Life Index,189.34,Very High
Austria,Purchasing Power Index,88.66,Moderate
Austria,Safety Index,76.89,High
Austria,Health Care Index,79.33,High
Austria,Climate Index,78.22,High
Austria,Cost of Living Index,71.12,Moderate
Austria,Property Price to Income Ratio,10.52,Moderate
Austria,Traffic Commute Time Index,25.59,Low
Austria,Pollution Index,21.65,Low
Austria,Quality of Life Index,186.85,Very High
Azerbaijan,Purchasing Power Index,27.98,Very Low
Azerbaijan,Safety Index,67.38,High
Azerbaijan,Health Care Index,41.23,Moderate
Azerbaijan,Climate Index,91.40,Very High
Azerbaijan,Cost of Living Index,29.72,Very Low
Azerbaijan,Property Price to Income Ratio,19.75,Very High
Azerbaijan,Traffic Commute Time Index,42.86,Moderate
Azerbaijan,Pollution Index,79.35,High
Azerbaijan,Quality of Life Index,94.79,Moderate
Bahamas,Purchasing Power Index,54.88,Low
Bahamas,Safety Index,38.49,Low
Bahamas,Health Care Index,44.44,Moderate
Bahamas,Climate Index,,
Bahamas,Cost of Living Index,86.83,Moderate
Bahamas,Property Price to Income Ratio,3.44,Very Low
Bahamas,Traffic Commute Time Index,23.67,Very Low
Bahamas,Pollution Index,63.18,High
Bahamas,Quality of Life Index,,
Bahrain,Purchasing Power Index,62.29,Low
Bahrain,Safety Index,69.06,High
Bahrain,Health Care Index,65.34,High
Bahrain,Climate Index,64.31,High
Bahrain,Cost of Living Index,58.25,Low
Bahrain,Property Price to Income Ratio,8.96,Moderate
Bahrain,Traffic Commute Time Index,28.75,Low
Bahrain,Pollution Index,70.61,High
Bahrain,Quality of Life Index,130.79,High
Bangladesh,Purchasing Power Index,36.48,Very Low
Bangladesh,Safety Index,34.79,Low
Bangladesh,Health Care Index,42.92,Moderate
Bangladesh,Climate Index,71.29,High
Bangladesh,Cost of Living Index,32.60,Very Low
Bangladesh,Property Price to Income Ratio,13.01,High
Bangladesh,Traffic Commute Time Index,58.88,High
Bangladesh,Pollution Index,88.83,Very High
Bangladesh,Quality of Life Index,67.99,Low
Barbados,Purchasing Power Index,55.93,Low
Barbados,Safety Index,54.51,Moderate
Barbados,Health Care Index,69.95,High
Barbados,Climate Index,,
Barbados,Cost of Living Index,80.23,Moderate
Barbados,Property Price to Income Ratio,6.65,Low
Barbados,Traffic Commute Time Index,32.50,Low
Barbados,Pollution Index,23.98,Low
Barbados,Quality of Life Index,,
Belarus,Purchasing Power Index,40.73,Very Low
Belarus,Safety Index,75.11,High
Belarus,Health Care Index,59.04,Moderate
Belarus,Climate Index,64.37,High
Belarus,Cost of Living Index,33.91,Very Low
Belarus,Property Price to Income Ratio,14.51,High
Belarus,Traffic Commute Time Index,31.21,Low
Belarus,Pollution Index,43.96,Moderate
Belarus,Quality of Life Index,136.11,High
Belgium,Purchasing Power Index,91.77,Moderate
Belgium,Safety Index,57.26,Moderate
Belgium,Health Care Index,77.94,High
Belgium,Climate Index,85.99,Very High
Belgium,Cost of Living Index,72.13,Moderate
Belgium,Property Price to Income Ratio,6.95,Low
Belgium,Traffic Commute Time Index,35.01,Moderate
Belgium,Pollution Index,50.81,Moderate
Belgium,Quality of Life Index,159.64,Very High
Belize,Purchasing Power Index,69.04,Moderate
Belize,Safety Index,44.02,Moderate
Belize,Health Care Index,46.85,Moderate
Belize,Climate Index,,
Belize,Cost of Living Index,48.91,Low
Belize,Property Price to Income Ratio,10.29,Moderate
Belize,Traffic Commute Time Index,16.00,Very Low
Belize,Pollution Index,55.15,Moderate
Belize,Quality of Life Index,,
Benin,Purchasing Power Index,,
Benin,Safety Index,75.25,High
Benin,Health Care Index,44.44,Moderate
Benin,Climate Index,,
Benin,Cost of Living Index,,
Benin,Property Price to Income Ratio,,
Benin,Traffic Commute Time Index,20.00,Very Low
Benin,Pollution Index,97.41,Very High
Benin,Quality of Life Index,,
Bermuda,Purchasing Power Index,78.43,Moderate
Bermuda,Safety Index,68.96,High
Bermuda,Health Care Index,70.14,High
Bermuda,Climate Index,,
Bermuda,Cost of Living Index,137.82,Very High
Bermuda,Property Price to Income Ratio,7.71,Moderate
Bermuda,Traffic Commute Time Index,40.57,Moderate
Bermuda,Pollution Index,14.26,Very Low
Bermuda,Quality of Life Index,,
Bhutan,Purchasing Power Index,32.94,Very Low
Bhutan,Safety Index,62.23,High
Bhutan,Health Care Index,58.10,Moderate
Bhutan,Climate Index,,
Bhutan,Cost of Living Index,39.58,Very Low
Bhutan,Property Price to Income Ratio,14.29,High
Bhutan,Traffic Commute Time Index,0.00,Very Low
Bhutan,Pollution Index,55.30,Moderate
Bhutan,Quality of Life Index,,
Bolivia,Purchasing Power Index,43.92,Very Low
Bolivia,Safety Index,46.24,Moderate
Bolivia,Health Care Index,49.82,Moderate
Bolivia,Climate Index,,
Bolivia,Cost of Living Index,34.03,Very Low
Bolivia,Property Price to Income Ratio,9.89,Moderate
Bolivia,Traffic Commute Time Index,44.54,Moderate
Bolivia,Pollution Index,79.41,High
Bolivia,Quality of Life Index,,
Bonaire,Purchasing Power Index,,
Bonaire,Safety Index,49.51,Moderate
Bonaire,Health Care Index,,
Bonaire,Climate Index,,
Bonaire,Cost of Living Index,,
Bonaire,Property Price to Income Ratio,6.95,Low
Bonaire,Traffic Commute Time Index,,
Bonaire,Pollution Index,,
Bonaire,Quality of Life Index,,
Bosnia And Herzegovina,Purchasing Power Index,45.59,Low
Bosnia And Herzegovina,Safety Index,56.19,Moderate
Bosnia And Herzegovina,Health Care Index,52.35,Moderate
Bosnia And Herzegovina,Climate Index,80.48,Very High
Bosnia And Herzegovina,Cost of Living Index,35.81,Very Low
Bosnia And Herzegovina,Property Price to Income Ratio,12.65,High
Bosnia And Herzegovina,Traffic Commute Time Index,26.80,Low
Bosnia And Herzegovina,Pollution Index,63.46,High
Bosnia And Herzegovina,Quality of Life Index,122.16,High
Botswana,Purchasing Power Index,66.23,Moderate
Botswana,Safety Index,47.11,Moderate
Botswana,Health Care Index,58.12,Moderate
Botswana,Climate Index,,
Botswana,Cost of Living Index,39.72,Very Low
Botswana,Property Price to Income Ratio,38.69,Very High
Botswana,Traffic Commute Time Index,26.62,Low
Botswana,Pollution Index,46.06,Moderate
Botswana,Quality of Life Index,,
Brazil,Purchasing Power Index,35.57,Very Low
Brazil,Safety Index,30.55,Low
Brazil,Health Care Index,55.60,Moderate
Brazil,Climate Index,94.25,Very High
Brazil,Cost of Living Index,42.58,Very Low
Brazil,Property Price to Income Ratio,16.80,Very High
Brazil,Traffic Commute Time Index,42.13,Moderate
Brazil,Pollution Index,56.08,Moderate
Brazil,Quality of Life Index,103.65,Moderate
British Virgin Islands,Purchasing Power Index,,
British Virgin Islands,Safety Index,35.29,Low
British Virgin Islands,Health Care Index,,
British Virgin Islands,Climate Index,,
British Virgin Islands,Cost of Living Index,,
British Virgin Islands,Property Price to Income Ratio,,
British Virgin Islands,Traffic Commute Time Index,,
British Virgin Islands,Pollution Index,86.21,Very High
British Virgin Islands,Quality of Life Index,,
Brunei,Purchasing Power Index,95.34,High
Brunei,Safety Index,71.95,High
Brunei,Health Care Index,76.49,High
Brunei,Climate Index,,
Brunei,Cost of Living Index,44.05,Very Low
Brunei,Property Price to Income Ratio,2.90,Very Low
Brunei,Traffic Commute Time Index,28.38,Low
Brunei,Pollution Index,32.64,Low
Brunei,Quality of Life Index,,
Bulgaria,Purchasing Power Index,50.10,Low
Bulgaria,Safety Index,60.92,High
Bulgaria,Health Care Index,55.31,Moderate
Bulgaria,Climate Index,81.22,Very High
Bulgaria,Cost of Living Index,37.11,Very Low
Bulgaria,Property Price to Income Ratio,9.01,Moderate
Bulgaria,Traffic Commute Time Index,28.88,Low
Bulgaria,Pollution Index,63.67,High
Bulgaria,Quality of Life Index,130.08,High
Burkina Faso,Purchasing Power Index,,
Burkina Faso,Safety Index,51.98,Moderate
Burkina Faso,Health Care Index,60.19,High
Burkina Faso,Climate Index,,
Burkina Faso,Cost of Living Index,,
Burkina Faso,Property Price to Income Ratio,251.35,
Burkina Faso,Traffic Commute Time Index,50.00,High
Burkina Faso,Pollution Index,,
Burkina Faso,Quality of Life Index,,
Burundi,Purchasing Power Index,,
Burundi,Safety Index,47.20,Moderate
Burundi,Health Care Index,2.78,Very Low
Burundi,Climate Index,,
Burundi,Cost of Living Index,,
Burundi,Property Price to Income Ratio,149.59,Very High
Burundi,Traffic Commute Time Index,,
Burundi,Pollution Index,101.15,Very High
Burundi,Quality of Life Index,,
Cambodia,Purchasing Power Index,11.74,Very Low
Cambodia,Safety Index,48.62,Moderate
Cambodia,Health Care Index,48.07,Moderate
Cambodia,Climate Index,59.43,Moderate
Cambodia,Cost of Living Index,47.87,Low
Cambodia,Property Price to Income Ratio,45.69,Very High
Cambodia,Traffic Commute Time Index,28.42,Low
Cambodia,Pollution Index,80.51,Very High
Cambodia,Quality of Life Index,49.68,Very Low
Cameroon,Purchasing Power Index,14.77,Very Low
Cameroon,Safety Index,34.28,Low
Cameroon,Health Care Index,48.80,Moderate
Cameroon,Climate Index,,
Cameroon,Cost of Living Index,39.54,Very Low
Cameroon,Property Price to Income Ratio,16.59,Very High
Cameroon,Traffic Commute Time Index,37.50,Moderate
Cameroon,Pollution Index,85.75,Very High
Cameroon,Quality of Life Index,,
Canada,Purchasing Power Index,103.18,High
Canada,Safety Index,60.45,High
Canada,Health Care Index,71.30,High
Canada,Climate Index,55.79,Moderate
Canada,Cost of Living Index,67.60,Moderate
Canada,Property Price to Income Ratio,7.93,Moderate
Canada,Traffic Commute Time Index,33.53,Low
Canada,Pollution Index,27.62,Low
Canada,Quality of Life Index,168.75,Very High
Cape Verde,Purchasing Power Index,,
Cape Verde,Safety Index,44.12,Moderate
Cape Verde,Health Care Index,91.67,Very High
Cape Verde,Climate Index,,
Cape Verde,Cost of Living Index,,
Cape Verde,Property Price to Income Ratio,13.53,High
Cape Verde,Traffic Commute Time Index,,
Cape Verde,Pollution Index,,
Cape Verde,Quality of Life Index,,
Cayman Islands,Purchasing Power Index,126.66,Very High
Cayman Islands,Safety Index,72.18,High
Cayman Islands,Health Care Index,62.04,High
Cayman Islands,Climate Index,,
Cayman Islands,Cost of Living Index,142.14,Very High
Cayman Islands,Property Price to Income Ratio,7.26,Low
Cayman Islands,Traffic Commute Time Index,7.75,Very Low
Cayman Islands,Pollution Index,24.43,Low
Cayman Islands,Quality of Life Index,,
Chile,Purchasing Power Index,50.30,Low
Chile,Safety Index,53.01,Moderate
Chile,Health Care Index,65.06,High
Chile,Climate Index,90.21,Very High
Chile,Cost of Living Index,48.46,Low
Chile,Property Price to Income Ratio,13.43,High
Chile,Traffic Commute Time Index,35.49,Moderate
Chile,Pollution Index,65.52,High
Chile,Quality of Life Index,123.02,High
China,Purchasing Power Index,62.83,Low
China,Safety Index,63.35,High
China,Health Care Index,64.36,High
China,Climate Index,78.91,High
China,Cost of Living Index,40.25,Very Low
China,Property Price to Income Ratio,30.50,Very High
China,Traffic Commute Time Index,41.64,Moderate
China,Pollution Index,81.10,Very High
China,Quality of Life Index,99.44,Moderate
Colombia,Purchasing Power Index,33.86,Very Low
Colombia,Safety Index,47.36,Moderate
Colombia,Health Care Index,67.72,High
Colombia,Climate Index,96.69,Very High
Colombia,Cost of Living Index,30.20,Very Low
Colombia,Property Price to Income Ratio,19.46,Very High
Colombia,Traffic Commute Time Index,45.51,High
Colombia,Pollution Index,62.55,High
Colombia,Quality of Life Index,109.61,Moderate
Congo,Purchasing Power Index,20.30,Very Low
Congo,Safety Index,34.05,Low
Congo,Health Care Index,59.03,Moderate
Congo,Climate Index,,
Congo,Cost of Living Index,100.16,High
Congo,Property Price to Income Ratio,49.49,Very High
Congo,Traffic Commute Time Index,30.00,Low
Congo,Pollution Index,108.05,Very High
Congo,Quality of Life Index,,
Costa Rica,Purchasing Power Index,45.78,Low
Costa Rica,Safety Index,44.23,Moderate
Costa Rica,Health Care Index,62.97,High
Costa Rica,Climate Index,99.48,Very High
Costa Rica,Cost of Living Index,55.61,Low
Costa Rica,Property Price to Income Ratio,9.41,Moderate
Costa Rica,Traffic Commute Time Index,62.18,Very High
Costa Rica,Pollution Index,48.84,Moderate
Costa Rica,Quality of Life Index,120.15,High
Croatia,Purchasing Power Index,56.44,Low
Croatia,Safety Index,76.49,High
Croatia,Health Care Index,65.02,High
Croatia,Climate Index,89.05,Very High
Croatia,Cost of Living Index,49.50,Low
Croatia,Property Price to Income Ratio,12.62,High
Croatia,Traffic Commute Time Index,29.86,Low
Croatia,Pollution Index,29.08,Low
Croatia,Quality of Life Index,164.63,Very High
Cuba,Purchasing Power Index,2.62,Very Low
Cuba,Safety Index,71.80,High
Cuba,Health Care Index,57.72,Moderate
Cuba,Climate Index,,
Cuba,Cost of Living Index,41.59,Very Low
Cuba,Property Price to Income Ratio,35.94,Very High
Cuba,Traffic Commute Time Index,33.33,Low
Cuba,Pollution Index,75.57,High
Cuba,Quality of Life Index,,
Curacao,Purchasing Power Index,53.75,Low
Curacao,Safety Index,44.32,Moderate
Curacao,Health Care Index,33.33,Low
Curacao,Climate Index,,
Curacao,Cost of Living Index,70.98,Moderate
Curacao,Property Price to Income Ratio,8.24,Moderate
Curacao,Traffic Commute Time Index,17.50,Very Low
Curacao,Pollution Index,60.50,High
Curacao,Quality of Life Index,,
Cyprus,Purchasing Power Index,66.14,Moderate
Cyprus,Safety Index,70.46,High
Cyprus,Health Care Index,51.92,Moderate
Cyprus,Climate Index,90.87,Very High
Cyprus,Cost of Living Index,58.06,Low
Cyprus,Property Price to Income Ratio,7.95,Moderate
Cyprus,Traffic Commute Time Index,21.06,Very Low
Cyprus,Pollution Index,53.96,Moderate
Cyprus,Quality of Life Index,152.49,Very High
Czech Republic,Purchasing Power Index,70.20,Moderate
Czech Republic,Safety Index,74.00,High
Czech Republic,Health Care Index,74.75,High
Czech Republic,Climate Index,77.13,High
Czech Republic,Cost of Living Index,45.20,Very Low
Czech Republic,Property Price to Income Ratio,14.41,High
Czech Republic,Traffic Commute Time Index,29.66,Low
Czech Republic,Pollution Index,40.18,Moderate
Czech Republic,Quality of Life Index,160.14,Very High
Denmark,Purchasing Power Index,107.85,High
Denmark,Safety Index,75.52,High
Denmark,Health Care Index,79.44,High
Denmark,Climate Index,82.29,Very High
Denmark,Cost of Living Index,82.95,Moderate
Denmark,Property Price to Income Ratio,7.57,Moderate
Denmark,Traffic Commute Time Index,29.60,Low
Denmark,Pollution Index,21.27,Low
Denmark,Quality of Life Index,195.26,Very High
Djibouti,Purchasing Power Index,41.76,Very Low
Djibouti,Safety Index,39.63,Low
Djibouti,Health Care Index,,
Djibouti,Climate Index,,
Djibouti,Cost of Living Index,68.82,Moderate
Djibouti,Property Price to Income Ratio,3.94,Very Low
Djibouti,Traffic Commute Time Index,31.00,Low
Djibouti,Pollution Index,55.80,Moderate
Djibouti,Quality of Life Index,,
Dominica,Purchasing Power Index,,
Dominica,Safety Index,45.66,Moderate
Dominica,Health Care Index,38.89,Low
Dominica,Climate Index,,
Dominica,Cost of Living Index,,
Dominica,Property Price to Income Ratio,1.00,Very Low
Dominica,Traffic Commute Time Index,,
Dominica,Pollution Index,,
Dominica,Quality of Life Index,,
Dominican Republic,Purchasing Power Index,24.67,Very Low
Dominican Republic,Safety Index,39.38,Low
Dominican Republic,Health Care Index,53.28,Moderate
Dominican Republic,Climate Index,67.82,High
Dominican Republic,Cost of Living Index,45.93,Very Low
Dominican Republic,Property Price to Income Ratio,13.40,High
Dominican Republic,Traffic Commute Time Index,40.87,Moderate
Dominican Republic,Pollution Index,77.87,High
Dominican Republic,Quality of Life Index,83.15,Moderate
Ecuador,Purchasing Power Index,41.03,Very Low
Ecuador,Safety Index,50.96,Moderate
Ecuador,Health Care Index,70.81,High
Ecuador,Climate Index,92.59,Very High
Ecuador,Cost of Living Index,41.48,Very Low
Ecuador,Property Price to Income Ratio,11.89,Moderate
Ecuador,Traffic Commute Time Index,38.18,Moderate
Ecuador,Pollution Index,56.64,Moderate
Ecuador,Quality of Life Index,128.20,High
Egypt,Purchasing Power Index,22.59,Very Low
Egypt,Safety Index,51.40,Moderate
Egypt,Health Care Index,44.88,Moderate
Egypt,Climate Index,91.98,Very High
Egypt,Cost of Living Index,29.23,Very Low
Egypt,Property Price to Income Ratio,13.74,High
Egypt,Traffic Commute Time Index,48.40,High
Egypt,Pollution Index,86.17,Very High
Egypt,Quality of Life Index,85.04,Moderate
El Salvador,Purchasing Power Index,27.99,Very Low
El Salvador,Safety Index,31.37,Low
El Salvador,Health Care Index,53.24,Moderate
El Salvador,Climate Index,,
El Salvador,Cost of Living Index,47.67,Low
El Salvador,Property Price to Income Ratio,14.21,High
El Salvador,Traffic Commute Time Index,37.77,Moderate
El Salvador,Pollution Index,79.60,High
El Salvador,Quality of Life Index,,
Equatorial Guinea,Purchasing Power Index,,
Equatorial Guinea,Safety Index,60.45,High
Equatorial Guinea,Health Care Index,42.59,Moderate
Equatorial Guinea,Climate Index,,
Equatorial Guinea,Cost of Living Index,,
Equatorial Guinea,Property Price to Income Ratio,8.92,Moderate
Equatorial Guinea,Traffic Commute Time Index,20.50,Very Low
Equatorial Guinea,Pollution Index,60.06,High
Equatorial Guinea,Quality of Life Index,,
Eritrea,Purchasing Power Index,,
Eritrea,Safety Index,65.23,High
Eritrea,Health Care Index,,
Eritrea,Climate Index,,
Eritrea,Cost of Living Index,,
Eritrea,Property Price to Income Ratio,26.43,Very High
Eritrea,Traffic Commute Time Index,,
Eritrea,Pollution Index,15.52,Very Low
Eritrea,Quality of Life Index,,
Estonia,Purchasing Power Index,75.26,Moderate
Estonia,Safety Index,77.79,High
Estonia,Health Care Index,68.76,High
Estonia,Climate Index,64.28,High
Estonia,Cost of Living Index,50.41,Low
Estonia,Property Price to Income Ratio,9.03,Moderate
Estonia,Traffic Commute Time Index,25.49,Low
Estonia,Pollution Index,19.59,Very Low
Estonia,Quality of Life Index,178.05,Very High
Ethiopia,Purchasing Power Index,9.20,Very Low
Ethiopia,Safety Index,52.54,Moderate
Ethiopia,Health Care Index,54.03,Moderate
Ethiopia,Climate Index,,
Ethiopia,Cost of Living Index,56.15,Low
Ethiopia,Property Price to Income Ratio,38.41,Very High
Ethiopia,Traffic Commute Time Index,58.50,High
Ethiopia,Pollution Index,79.40,High
Ethiopia,Quality of Life Index,,
Faroe Islands,Purchasing Power Index,,
Faroe Islands,Safety Index,80.53,Very High
Faroe Islands,Health Care Index,77.78,High
Faroe Islands,Climate Index,,
Faroe Islands,Cost of Living Index,,
Faroe Islands,Property Price to Income Ratio,5.11,Low
Faroe Islands,Traffic Commute Time Index,,
Faroe Islands,Pollution Index,11.21,Very Low
Faroe Islands,Quality of Life Index,,
Fiji,Purchasing Power Index,35.94,Very Low
Fiji,Safety Index,41.13,Moderate
Fiji,Health Care Index,47.20,Moderate
Fiji,Climate Index,71.89,High
Fiji,Cost of Living Index,48.99,Low
Fiji,Property Price to Income Ratio,8.94,Moderate
Fiji,Traffic Commute Time Index,41.08,Moderate
Fiji,Pollution Index,55.06,Moderate
Fiji,Quality of Life Index,106.69,Moderate
Finland,Purchasing Power Index,107.30,High
Finland,Safety Index,77.38,High
Finland,Health Care Index,75.50,High
Finland,Climate Index,62.79,High
Finland,Cost of Living Index,70.86,Moderate
Finland,Property Price to Income Ratio,7.99,Moderate
Finland,Traffic Commute Time Index,30.65,Low
Finland,Pollution Index,11.72,Very Low
Finland,Quality of Life Index,194.53,Very High
France,Purchasing Power Index,85.69,Moderate
France,Safety Index,53.65,Moderate
France,Health Care Index,78.47,High
France,Climate Index,89.76,Very High
France,Cost of Living Index,73.79,Moderate
France,Property Price to Income Ratio,14.04,High
France,Traffic Commute Time Index,34.43,Low
France,Pollution Index,42.78,Moderate
France,Quality of Life Index,155.25,Very High
French Polynesia,Purchasing Power Index,49.17,Low
French Polynesia,Safety Index,35.29,Low
French Polynesia,Health Care Index,96.30,Very High
French Polynesia,Climate Index,,
French Polynesia,Cost of Living Index,90.74,High
French Polynesia,Property Price to Income Ratio,40.26,Very High
French Polynesia,Traffic Commute Time Index,30.00,Low
French Polynesia,Pollution Index,47.56,Moderate
French Polynesia,Quality of Life Index,,
Gabon,Purchasing Power Index,29.66,Very Low
Gabon,Safety Index,55.15,Moderate
Gabon,Health Care Index,31.25,Low
Gabon,Climate Index,,
Gabon,Cost of Living Index,65.27,Moderate
Gabon,Property Price to Income Ratio,20.28,Very High
Gabon,Traffic Commute Time Index,16.35,Very Low
Gabon,Pollution Index,69.14,High
Gabon,Quality of Life Index,,
Gambia,Purchasing Power Index,,
Gambia,Safety Index,60.29,High
Gambia,Health Care Index,,
Gambia,Climate Index,,
Gambia,Cost of Living Index,,
Gambia,Property Price to Income Ratio,375.00,
Gambia,Traffic Commute Time Index,65.00,Very High
Gambia,Pollution Index,55.17,Moderate
Gambia,Quality of Life Index,,
Georgia,Purchasing Power Index,29.38,Very Low
Georgia,Safety Index,79.82,High
Georgia,Health Care Index,51.75,Moderate
Georgia,Climate Index,84.20,Very High
Georgia,Cost of Living Index,27.11,Very Low
Georgia,Property Price to Income Ratio,13.76,High
Georgia,Traffic Commute Time Index,36.55,Moderate
Georgia,Pollution Index,71.12,High
Georgia,Quality of Life Index,118.27,High
Germany,Purchasing Power Index,109.94,High
Germany,Safety Index,65.19,High
Germany,Health Care Index,73.25,High
