country,parameter,value,rating
Germany,Climate Index,82.80,Very High
Germany,Cost of Living Index,65.79,Moderate
Germany,Property Price to Income Ratio,9.53,Moderate
Germany,Traffic Commute Time Index,30.41,Low
Germany,Pollution Index,28.59,Low
Germany,Quality of Life Index,183.10,Very High
Ghana,Purchasing Power Index,21.85,Very Low
Ghana,Safety Index,48.43,Moderate
Ghana,Health Care Index,57.23,Moderate
Ghana,Climate Index,,
Ghana,Cost of Living Index,43.52,Very Low
Ghana,Property Price to Income Ratio,26.69,Very High
Ghana,Traffic Commute Time Index,37.40,Moderate
Ghana,Pollution Index,88.94,Very High
Ghana,Quality of Life Index,,
Gibraltar,Purchasing Power Index,125.40,Very High
Gibraltar,Safety Index,83.80,Very High
Gibraltar,Health Care Index,57.41,Moderate
Gibraltar,Climate Index,,
Gibraltar,Cost of Living Index,64.11,Low
Gibraltar,Property Price to Income Ratio,8.08,Moderate
Gibraltar,Traffic Commute Time Index,23.33,Very Low
Gibraltar,Pollution Index,65.86,High
Gibraltar,Quality of Life Index,,
Greece,Purchasing Power Index,47.67,Low
Greece,Safety Index,60.30,High
Greece,Health Care Index,55.50,Moderate
Greece,Climate Index,94.18,Very High
Greece,Cost of Living Index,55.99,Low
Greece,Property Price to Income Ratio,9.96,Moderate
Greece,Traffic Commute Time Index,33.32,Low
Greece,Pollution Index,52.40,Moderate
Greece,Quality of Life Index,135.66,High
Greenland,Purchasing Power Index,,
Greenland,Safety Index,73.79,High
Greenland,Health Care Index,75.00,High
Greenland,Climate Index,,
Greenland,Cost of Living Index,,
Greenland,Property Price to Income Ratio,10.29,Moderate
Greenland,Traffic Commute Time Index,18.00,Very Low
Greenland,Pollution Index,72.84,High
Greenland,Quality of Life Index,,
Grenada,Purchasing Power Index,,
Grenada,Safety Index,68.75,High
Grenada,Health Care Index,,
Grenada,Climate Index,,
Grenada,Cost of Living Index,,
Grenada,Property Price to Income Ratio,,
Grenada,Traffic Commute Time Index,,
Grenada,Pollution Index,53.33,Moderate
Grenada,Quality of Life Index,,
Guam,Purchasing Power Index,,
Guam,Safety Index,29.24,Low
Guam,Health Care Index,38.24,Low
Guam,Climate Index,,
Guam,Cost of Living Index,,
Guam,Property Price to Income Ratio,,
Guam,Traffic Commute Time Index,45.00,High
Guam,Pollution Index,36.64,Low
Guam,Quality of Life Index,,
Guatemala,Purchasing Power Index,40.71,Very Low
Guatemala,Safety Index,43.95,Moderate
Guatemala,Health Care Index,68.30,High
Guatemala,Climate Index,99.89,Very High
Guatemala,Cost of Living Index,42.95,Very Low
Guatemala,Property Price to Income Ratio,10.77,Moderate
Guatemala,Traffic Commute Time Index,47.92,High
Guatemala,Pollution Index,74.06,High
Guatemala,Quality of Life Index,110.48,High
Guernsey,Purchasing Power Index,77.92,Moderate
Guernsey,Safety Index,82.89,Very High
Guernsey,Health Care Index,54.17,Moderate
Guernsey,Climate Index,,
Guernsey,Cost of Living Index,118.67,Very High
Guernsey,Property Price to Income Ratio,6.49,Low
Guernsey,Traffic Commute Time Index,10.00,Very Low
Guernsey,Pollution Index,27.59,Low
Guernsey,Quality of Life Index,,
Guyana,Purchasing Power Index,33.33,Very Low
Guyana,Safety Index,32.80,Low
Guyana,Health Care Index,35.06,Low
Guyana,Climate Index,,
Guyana,Cost of Living Index,41.43,Very Low
Guyana,Property Price to Income Ratio,52.09,Very High
Guyana,Traffic Commute Time Index,52.00,High
Guyana,Pollution Index,64.70,High
Guyana,Quality of Life Index,,
Haiti,Purchasing Power Index,,
Haiti,Safety Index,34.89,Low
Haiti,Health Care Index,46.30,Moderate
Haiti,Climate Index,,
Haiti,Cost of Living Index,,
Haiti,Property Price to Income Ratio,16.15,Very High
Haiti,Traffic Commute Time Index,90.00,Very High
Haiti,Pollution Index,83.10,Very High
Haiti,Quality of Life Index,,
Honduras,Purchasing Power Index,34.55,Very Low
Honduras,Safety Index,24.16,Low
Honduras,Health Care Index,35.41,Low
Honduras,Climate Index,,
Honduras,Cost of Living Index,42.39,Very Low
Honduras,Property Price to Income Ratio,10.19,Moderate
Honduras,Traffic Commute Time Index,22.43,Very Low
Honduras,Pollution Index,79.13,High
Honduras,Quality of Life Index,,
Hong Kong,Purchasing Power Index,65.45,Moderate
Hong Kong,Safety Index,82.00,Very High
Hong Kong,Health Care Index,67.07,High
Hong Kong,Climate Index,83.64,Very High
Hong Kong,Cost of Living Index,79.28,Moderate
Hong Kong,Property Price to Income Ratio,49.58,Very High
Hong Kong,Traffic Commute Time Index,40.94,Moderate
Hong Kong,Pollution Index,67.25,High
Hong Kong,Quality of Life Index,99.08,Moderate
Hungary,Purchasing Power Index,53.16,Low
Hungary,Safety Index,64.63,High
Hungary,Health Care Index,47.35,Moderate
Hungary,Climate Index,79.48,High
Hungary,Cost of Living Index,41.08,Very Low
Hungary,Property Price to Income Ratio,12.68,High
Hungary,Traffic Commute Time Index,35.70,Moderate
Hungary,Pollution Index,47.58,Moderate
Hungary,Quality of Life Index,132.66,High
Iceland,Purchasing Power Index,90.96,Moderate
Iceland,Safety Index,76.91,High
Iceland,Health Care Index,65.96,High
Iceland,Climate Index,68.81,High
Iceland,Cost of Living Index,99.74,High
Iceland,Property Price to Income Ratio,6.40,Low
Iceland,Traffic Commute Time Index,20.36,Very Low
Iceland,Pollution Index,16.09,Very Low
Iceland,Quality of Life Index,186.88,Very High
India,Purchasing Power Index,60.83,Low
India,Safety Index,57.64,Moderate
India,Health Care Index,68.19,High
India,Climate Index,65.77,High
India,Cost of Living Index,24.97,Very Low
India,Property Price to Income Ratio,11.24,Moderate
India,Traffic Commute Time Index,46.50,High
India,Pollution Index,75.65,High
India,Quality of Life Index,114.93,High
Indonesia,Purchasing Power Index,30.36,Very Low
Indonesia,Safety Index,53.68,Moderate
Indonesia,Health Care Index,62.00,High
Indonesia,Climate Index,63.76,High
Indonesia,Cost of Living Index,36.99,Very Low
Indonesia,Property Price to Income Ratio,15.10,High
Indonesia,Traffic Commute Time Index,44.66,Moderate
Indonesia,Pollution Index,64.51,High
Indonesia,Quality of Life Index,100.91,Moderate
Iran,Purchasing Power Index,25.87,Very Low
Iran,Safety Index,50.53,Moderate
Iran,Health Care Index,51.75,Moderate
Iran,Climate Index,70.99,High
Iran,Cost of Living Index,40.06,Very Low
Iran,Property Price to Income Ratio,24.56,Very High
Iran,Traffic Commute Time Index,48.05,High
Iran,Pollution Index,78.02,High
Iran,Quality of Life Index,75.38,Moderate
Iraq,Purchasing Power Index,45.76,Low
Iraq,Safety Index,53.46,Moderate
Iraq,Health Care Index,41.32,Moderate
Iraq,Climate Index,46.98,Moderate
Iraq,Cost of Living Index,39.26,Very Low
Iraq,Property Price to Income Ratio,9.18,Moderate
Iraq,Traffic Commute Time Index,32.67,Low
Iraq,Pollution Index,79.33,High
Iraq,Quality of Life Index,94.89,Moderate
Ireland,Purchasing Power Index,89.29,Moderate
Ireland,Safety Index,53.63,Moderate
Ireland,Health Care Index,50.97,Moderate
Ireland,Climate Index,88.59,Very High
Ireland,Cost of Living Index,75.05,Moderate
Ireland,Property Price to Income Ratio,7.16,Low
Ireland,Traffic Commute Time Index,36.46,Moderate
Ireland,Pollution Index,33.85,Low
Ireland,Quality of Life Index,156.99,Very High
Isle Of Man,Purchasing Power Index,,
Isle Of Man,Safety Index,82.96,Very High
Isle Of Man,Health Care Index,75.56,High
Isle Of Man,Climate Index,,
Isle Of Man,Cost of Living Index,,
Isle Of Man,Property Price to Income Ratio,3.61,Very Low
Isle Of Man,Traffic Commute Time Index,5.00,Very Low
Isle Of Man,Pollution Index,22.03,Low
Isle Of Man,Quality of Life Index,,
Israel,Purchasing Power Index,84.49,Moderate
Israel,Safety Index,68.84,High
Israel,Health Care Index,73.30,High
Israel,Climate Index,93.80,Very High
Israel,Cost of Living Index,80.13,Moderate
Israel,Property Price to Income Ratio,13.79,High
Israel,Traffic Commute Time Index,35.57,Moderate
Israel,Pollution Index,56.51,Moderate
Israel,Quality of Life Index,151.54,Very High
Italy,Purchasing Power Index,72.25,Moderate
Italy,Safety Index,55.69,Moderate
Italy,Health Care Index,66.53,High
Italy,Climate Index,91.26,Very High
Italy,Cost of Living Index,68.12,Moderate
Italy,Property Price to Income Ratio,9.48,Moderate
Italy,Traffic Commute Time Index,34.82,Low
Italy,Pollution Index,54.94,Moderate
Italy,Quality of Life Index,143.44,High
Ivory Coast,Purchasing Power Index,20.00,Very Low
Ivory Coast,Safety Index,49.55,Moderate
Ivory Coast,Health Care Index,34.26,Low
Ivory Coast,Climate Index,,
Ivory Coast,Cost of Living Index,52.03,Low
Ivory Coast,Property Price to Income Ratio,14.66,High
Ivory Coast,Traffic Commute Time Index,42.50,Moderate
Ivory Coast,Pollution Index,94.17,Very High
Ivory Coast,Quality of Life Index,,
Jamaica,Purchasing Power Index,34.29,Very Low
Jamaica,Safety Index,34.74,Low
Jamaica,Health Care Index,52.66,Moderate
Jamaica,Climate Index,,
Jamaica,Cost of Living Index,55.96,Low
Jamaica,Property Price to Income Ratio,12.18,High
Jamaica,Traffic Commute Time Index,54.43,High
Jamaica,Pollution Index,69.94,High
Jamaica,Quality of Life Index,,
Japan,Purchasing Power Index,96.39,High
Japan,Safety Index,84.54,Very High
Japan,Health Care Index,80.60,Very High
Japan,Climate Index,85.26,Very High
Japan,Cost of Living Index,84.71,Moderate
Japan,Property Price to Income Ratio,12.67,High
Japan,Traffic Commute Time Index,38.99,Moderate
Japan,Pollution Index,36.67,Low
Japan,Quality of Life Index,176.41,Very High
Jersey,Purchasing Power Index,,
Jersey,Safety Index,71.57,High
Jersey,Health Care Index,57.78,Moderate
Jersey,Climate Index,,
Jersey,Cost of Living Index,,
Jersey,Property Price to Income Ratio,9.14,Moderate
Jersey,Traffic Commute Time Index,25.00,Low
Jersey,Pollution Index,40.47,Moderate
Jersey,Quality of Life Index,,
Jordan,Purchasing Power Index,36.68,Very Low
Jordan,Safety Index,57.17,Moderate
Jordan,Health Care Index,65.63,High
Jordan,Climate Index,89.05,Very High
Jordan,Cost of Living Index,55.08,Low
Jordan,Property Price to Income Ratio,8.62,Moderate
Jordan,Traffic Commute Time Index,43.16,Moderate
Jordan,Pollution Index,78.98,High
Jordan,Quality of Life Index,110.83,High
Kazakhstan,Purchasing Power Index,38.04,Very Low
Kazakhstan,Safety Index,35.89,Low
Kazakhstan,Health Care Index,50.29,Moderate
Kazakhstan,Climate Index,39.78,Moderate
Kazakhstan,Cost of Living Index,29.80,Very Low
Kazakhstan,Property Price to Income Ratio,11.73,Moderate
Kazakhstan,Traffic Commute Time Index,31.64,Low
Kazakhstan,Pollution Index,74.99,High
Kazakhstan,Quality of Life Index,86.02,Moderate
Kenya,Purchasing Power Index,28.57,Very Low
Kenya,Safety Index,37.70,Low
Kenya,Health Care Index,53.40,Moderate
Kenya,Climate Index,99.79,Very High
Kenya,Cost of Living Index,39.20,Very Low
Kenya,Property Price to Income Ratio,31.26,Very High
Kenya,Traffic Commute Time Index,55.80,High
Kenya,Pollution Index,74.53,High
Kenya,Quality of Life Index,72.13,Moderate
Kosovo (Disputed Territory),Purchasing Power Index,53.02,Low
Kosovo (Disputed Territory),Safety Index,68.46,High
Kosovo (Disputed Territory),Health Care Index,63.52,High
Kosovo (Disputed Territory),Climate Index,76.84,High
Kosovo (Disputed Territory),Cost of Living Index,26.97,Very Low
Kosovo (Disputed Territory),Property Price to Income Ratio,11.56,Moderate
Kosovo (Disputed Territory),Traffic Commute Time Index,24.54,Very Low
Kosovo (Disputed Territory),Pollution Index,69.85,High
Kosovo (Disputed Territory),Quality of Life Index,133.36,High
Kuwait,Purchasing Power Index,95.86,High
Kuwait,Safety Index,64.42,High
Kuwait,Health Care Index,54.86,Moderate
Kuwait,Climate Index,,
Kuwait,Cost of Living Index,50.12,Low
Kuwait,Property Price to Income Ratio,14.05,High
Kuwait,Traffic Commute Time Index,34.73,Low
Kuwait,Pollution Index,70.20,High
Kuwait,Quality of Life Index,,
Kyrgyzstan,Purchasing Power Index,24.90,Very Low
Kyrgyzstan,Safety Index,40.51,Moderate
Kyrgyzstan,Health Care Index,54.58,Moderate
Kyrgyzstan,Climate Index,58.11,Moderate
Kyrgyzstan,Cost of Living Index,27.93,Very Low
Kyrgyzstan,Property Price to Income Ratio,15.79,High
Kyrgyzstan,Traffic Commute Time Index,35.57,Moderate
Kyrgyzstan,Pollution Index,66.28,High
Kyrgyzstan,Quality of Life Index,90.87,Moderate
Laos,Purchasing Power Index,15.62,Very Low
Laos,Safety Index,66.10,High
Laos,Health Care Index,34.26,Low
Laos,Climate Index,,
Laos,Cost of Living Index,55.82,Low
Laos,Property Price to Income Ratio,38.56,Very High
Laos,Traffic Commute Time Index,30.00,Low
Laos,Pollution Index,79.31,High
Laos,Quality of Life Index,,
Latvia,Purchasing Power Index,55.18,Low
Latvia,Safety Index,63.47,High
Latvia,Health Care Index,63.79,High
Latvia,Climate Index,74.70,High
Latvia,Cost of Living Index,48.95,Low
Latvia,Property Price to Income Ratio,8.79,Moderate
Latvia,Traffic Commute Time Index,31.53,Low
Latvia,Pollution Index,32.87,Low
Latvia,Quality of Life Index,152.86,Very High
Lebanon,Purchasing Power Index,49.09,Low
Lebanon,Safety Index,56.74,Moderate
Lebanon,Health Care Index,64.81,High
Lebanon,Climate Index,94.74,Very High
Lebanon,Cost of Living Index,59.97,Low
Lebanon,Property Price to Income Ratio,13.60,High
Lebanon,Traffic Commute Time Index,36.13,Moderate
Lebanon,Pollution Index,88.19,Very High
Lebanon,Quality of Life Index,109.05,Moderate
Lesotho,Purchasing Power Index,35.09,Very Low
Lesotho,Safety Index,38.46,Low
Lesotho,Health Care Index,55.56,Moderate
Lesotho,Climate Index,,
Lesotho,Cost of Living Index,32.44,Very Low
Lesotho,Property Price to Income Ratio,81.63,Very High
Lesotho,Traffic Commute Time Index,80.00,Very High
Lesotho,Pollution Index,56.32,Moderate
Lesotho,Quality of Life Index,,
Liberia,Purchasing Power Index,,
Liberia,Safety Index,17.95,Very Low
Liberia,Health Care Index,37.04,Low
Liberia,Climate Index,,
Liberia,Cost of Living Index,85.37,Moderate
Liberia,Property Price to Income Ratio,,
Liberia,Traffic Commute Time Index,30.00,Low
Liberia,Pollution Index,92.88,Very High
Liberia,Quality of Life Index,,
Libya,Purchasing Power Index,52.84,Low
Libya,Safety Index,38.58,Low
Libya,Health Care Index,54.29,Moderate
Libya,Climate Index,,
Libya,Cost of Living Index,61.76,Low
Libya,Property Price to Income Ratio,7.10,Low
Libya,Traffic Commute Time Index,21.00,Very Low
Libya,Pollution Index,50.10,Moderate
Libya,Quality of Life Index,,
Lithuania,Purchasing Power Index,59.20,Low
Lithuania,Safety Index,65.60,High
Lithuania,Health Care Index,68.79,High
Lithuania,Climate Index,69.86,High
Lithuania,Cost of Living Index,45.00,Very Low
Lithuania,Property Price to Income Ratio,11.08,Moderate
Lithuania,Traffic Commute Time Index,26.34,Low
Lithuania,Pollution Index,29.84,Low
Lithuania,Quality of Life Index,158.64,Very High
Luxembourg,Purchasing Power Index,105.43,High
Luxembourg,Safety Index,69.04,High
Luxembourg,Health Care Index,76.39,High
Luxembourg,Climate Index,82.62,Very High
Luxembourg,Cost of Living Index,83.65,Moderate
Luxembourg,Property Price to Income Ratio,11.22,Moderate
Luxembourg,Traffic Commute Time Index,33.33,Low
Luxembourg,Pollution Index,23.53,Low
Luxembourg,Quality of Life Index,182.85,Very High
Macao,Purchasing Power Index,,
Macao,Safety Index,75.78,High
Macao,Health Care Index,45.56,Moderate
Macao,Climate Index,,
Macao,Cost of Living Index,,
Macao,Property Price to Income Ratio,26.55,Very High
Macao,Traffic Commute Time Index,14.14,Very Low
Macao,Pollution Index,69.35,High
Macao,Quality of Life Index,,
Macedonia,Purchasing Power Index,39.59,Very Low
Macedonia,Safety Index,60.64,High
Macedonia,Health Care Index,57.26,Moderate
Macedonia,Climate Index,76.30,High
Macedonia,Cost of Living Index,32.23,Very Low
Macedonia,Property Price to Income Ratio,13.30,High
Macedonia,Traffic Commute Time Index,28.98,Low
Macedonia,Pollution Index,80.17,Very High
Macedonia,Quality of Life Index,110.03,High
Madagascar,Purchasing Power Index,,
Madagascar,Safety Index,40.98,Moderate
Madagascar,Health Care Index,31.94,Low
Madagascar,Climate Index,,
Madagascar,Cost of Living Index,,
Madagascar,Property Price to Income Ratio,,
Madagascar,Traffic Commute Time Index,2.00,Very Low
Madagascar,Pollution Index,85.65,Very High
Madagascar,Quality of Life Index,,
Malawi,Purchasing Power Index,,
Malawi,Safety Index,47.79,Moderate
Malawi,Health Care Index,29.17,Low
Malawi,Climate Index,,
Malawi,Cost of Living Index,,
Malawi,Property Price to Income Ratio,,
Malawi,Traffic Commute Time Index,20.34,Very Low
Malawi,Pollution Index,64.83,High
Malawi,Quality of Life Index,,
Malaysia,Purchasing Power Index,68.62,Moderate
Malaysia,Safety Index,39.39,Low
Malaysia,Health Care Index,68.01,High
Malaysia,Climate Index,58.17,Moderate
Malaysia,Cost of Living Index,39.27,Very Low
Malaysia,Property Price to Income Ratio,9.73,Moderate
Malaysia,Traffic Commute Time Index,37.30,Moderate
Malaysia,Pollution Index,62.61,High
Malaysia,Quality of Life Index,119.69,High
Maldives,Purchasing Power Index,28.36,Very Low
Maldives,Safety Index,46.17,Moderate
Maldives,Health Care Index,37.80,Low
Maldives,Climate Index,,
Maldives,Cost of Living Index,64.03,Low
Maldives,Property Price to Income Ratio,21.93,Very High
Maldives,Traffic Commute Time Index,35.00,Moderate
Maldives,Pollution Index,81.74,Very High
Maldives,Quality of Life Index,,
Mali,Purchasing Power Index,,
Mali,Safety Index,62.34,High
Mali,Health Care Index,8.33,Very Low
Mali,Climate Index,,
Mali,Cost of Living Index,,
Mali,Property Price to Income Ratio,,
Mali,Traffic Commute Time Index,,
Mali,Pollution Index,93.10,Very High
Mali,Quality of Life Index,,
Malta,Purchasing Power Index,54.39,Low
Malta,Safety Index,61.57,High
Malta,Health Care Index,72.83,High
Malta,Climate Index,97.44,Very High
Malta,Cost of Living Index,64.43,Low
Malta,Property Price to Income Ratio,11.48,Moderate
Malta,Traffic Commute Time Index,28.63,Low
Malta,Pollution Index,76.10,High
Malta,Quality of Life Index,131.17,High
Mauritania,Purchasing Power Index,,
Mauritania,Safety Index,51.47,Moderate
Mauritania,Health Care Index,42.13,Moderate
Mauritania,Climate Index,,
Mauritania,Cost of Living Index,,
Mauritania,Property Price to Income Ratio,,
Mauritania,Traffic Commute Time Index,,
Mauritania,Pollution Index,69.40,High
Mauritania,Quality of Life Index,,
Mauritius,Purchasing Power Index,35.43,Very Low
Mauritius,Safety Index,52.66,Moderate
Mauritius,Health Care Index,63.73,High
Mauritius,Climate Index,,
Mauritius,Cost of Living Index,51.35,Low
Mauritius,Property Price to Income Ratio,7.66,Moderate
Mauritius,Traffic Commute Time Index,55.40,High
Mauritius,Pollution Index,55.67,Moderate
Mauritius,Quality of Life Index,,
Mexico,Purchasing Power Index,45.78,Low
Mexico,Safety Index,47.44,Moderate
Mexico,Health Care Index,69.31,High
Mexico,Climate Index,88.72,Very High
Mexico,Cost of Living Index,34.36,Very Low
Mexico,Property Price to Income Ratio,10.11,Moderate
Mexico,Traffic Commute Time Index,38.64,Moderate
Mexico,Pollution Index,66.96,High
Mexico,Quality of Life Index,121.82,High
Moldova,Purchasing Power Index,28.93,Very Low
Moldova,Safety Index,54.69,Moderate
Moldova,Health Care Index,52.73,Moderate
Moldova,Climate Index,76.91,High
Moldova,Cost of Living Index,32.86,Very Low
Moldova,Property Price to Income Ratio,13.25,High
Moldova,Traffic Commute Time Index,26.36,Low
Moldova,Pollution Index,65.87,High
Moldova,Quality of Life Index,112.02,High
Monaco,Purchasing Power Index,55.92,Low
Monaco,Safety Index,78.10,High
Monaco,Health Care Index,79.63,High
Monaco,Climate Index,,
Monaco,Cost of Living Index,105.93,High
Monaco,Property Price to Income Ratio,72.15,Very High
Monaco,Traffic Commute Time Index,18.33,Very Low
Monaco,Pollution Index,86.04,Very High
Monaco,Quality of Life Index,,
Mongolia,Purchasing Power Index,29.37,Very Low
Mongolia,Safety Index,44.46,Moderate
Mongolia,Health Care Index,48.54,Moderate
Mongolia,Climate Index,-3.54,Low
Mongolia,Cost of Living Index,34.32,Very Low
Mongolia,Property Price to Income Ratio,14.13,High
Mongolia,Traffic Commute Time Index,33.90,Low
Mongolia,Pollution Index,93.20,Very High
Mongolia,Quality of Life Index,55.57,Low
Montenegro,Purchasing Power Index,43.14,Very Low
Montenegro,Safety Index,60.28,High
Montenegro,Health Care Index,42.94,Moderate
Montenegro,Climate Index,88.40,Very High
Montenegro,Cost of Living Index,38.46,Very Low
Montenegro,Property Price to Income Ratio,13.62,High
Montenegro,Traffic Commute Time Index,14.38,Very Low
Montenegro,Pollution Index,46.08,Moderate
Montenegro,Quality of Life Index,138.67,High
Morocco,Purchasing Power Index,39.02,Very Low
Morocco,Safety Index,50.45,Moderate
Morocco,Health Care Index,39.83,Low
Morocco,Climate Index,86.09,Very High
Morocco,Cost of Living Index,34.39,Very Low
Morocco,Property Price to Income Ratio,14.41,High
Morocco,Traffic Commute Time Index,36.83,Moderate
Morocco,Pollution Index,68.70,High
Morocco,Quality of Life Index,103.41,Moderate
Mozambique,Purchasing Power Index,25.01,Very Low
Mozambique,Safety Index,39.01,Low
Mozambique,Health Care Index,40.12,Moderate
Mozambique,Climate Index,,
Mozambique,Cost of Living Index,44.78,Very Low
Mozambique,Property Price to Income Ratio,11.92,Moderate
Mozambique,Traffic Commute Time Index,26.25,Low
Mozambique,Pollution Index,73.33,High
Mozambique,Quality of Life Index,,
Myanmar,Purchasing Power Index,12.46,Very Low
Myanmar,Safety Index,57.50,Moderate
Myanmar,Health Care Index,46.87,Moderate
Myanmar,Climate Index,,
Myanmar,Cost of Living Index,47.92,Low
Myanmar,Property Price to Income Ratio,10.24,Moderate
Myanmar,Traffic Commute Time Index,53.33,High
Myanmar,Pollution Index,93.08,Very High
Myanmar,Quality of Life Index,,
Namibia,Purchasing Power Index,56.45,Low
Namibia,Safety Index,31.86,Low
Namibia,Health Care Index,60.06,High
Namibia,Climate Index,,
Namibia,Cost of Living Index,44.17,Very Low
Namibia,Property Price to Income Ratio,4.52,Very Low
Namibia,Traffic Commute Time Index,29.58,Low
Namibia,Pollution Index,47.40,Moderate
Namibia,Quality of Life Index,,
Nepal,Purchasing Power Index,23.60,Very Low
Nepal,Safety Index,64.56,High
Nepal,Health Care Index,56.27,Moderate
Nepal,Climate Index,92.64,Very High
Nepal,Cost of Living Index,30.27,Very Low
Nepal,Property Price to Income Ratio,26.07,Very High
Nepal,Traffic Commute Time Index,39.96,Moderate
Nepal,Pollution Index,85.00,Very High
Nepal,Quality of Life Index,89.37,Moderate
Netherlands,Purchasing Power Index,96.84,High
Netherlands,Safety Index,71.66,High
Netherlands,Health Care Index,76.40,High
Netherlands,Climate Index,87.56,Very High
Netherlands,Cost of Living Index,74.21,Moderate
Netherlands,Property Price to Income Ratio,7.43,Low
Netherlands,Traffic Commute Time Index,29.11,Low
Netherlands,Pollution Index,27.17,Low
Netherlands,Quality of Life Index,186.79,Very High
New Caledonia,Purchasing Power Index,,
New Caledonia,Safety Index,31.00,Low
New Caledonia,Health Care Index,54.17,Moderate
New Caledonia,Climate Index,,
New Caledonia,Cost of Living Index,,
New Caledonia,Property Price to Income Ratio,8.29,Moderate
New Caledonia,Traffic Commute Time Index,0.00,Very Low
New Caledonia,Pollution Index,59.31,Moderate
New Caledonia,Quality of Life Index,,
New Zealand,Purchasing Power Index,95.93,High
New Zealand,Safety Index,59.11,Moderate
New Zealand,Health Care Index,73.84,High
New Zealand,Climate Index,95.46,Very High
New Zealand,Cost of Living Index,72.59,Moderate
New Zealand,Property Price to Income Ratio,8.32,Moderate
New Zealand,Traffic Commute Time Index,30.65,Low
New Zealand,Pollution Index,23.40,Low
New Zealand,Quality of Life Index,182.78,Very High
Nicaragua,Purchasing Power Index,23.37,Very Low
Nicaragua,Safety Index,55.66,Moderate
Nicaragua,Health Care Index,68.55,High
Nicaragua,Climate Index,,
Nicaragua,Cost of Living Index,45.66,Very Low
Nicaragua,Property Price to Income Ratio,11.46,Moderate
Nicaragua,Traffic Commute Time Index,39.33,Moderate
Nicaragua,Pollution Index,64.25,High
Nicaragua,Quality of Life Index,,
Nigeria,Purchasing Power Index,15.43,Very Low
Nigeria,Safety Index,35.47,Low
Nigeria,Health Care Index,53.51,Moderate
Nigeria,Climate Index,60.75,High
Nigeria,Cost of Living Index,31.85,Very Low
Nigeria,Property Price to Income Ratio,15.50,High
Nigeria,Traffic Commute Time Index,64.92,Very High
Nigeria,Pollution Index,87.16,Very High
Nigeria,Quality of Life Index,56.31,Low
Northern Mariana Islands,Purchasing Power Index,,
Northern Mariana Islands,Safety Index,73.53,High
Northern Mariana Islands,Health Care Index,27.78,Low
Northern Mariana Islands,Climate Index,,
Northern Mariana Islands,Cost of Living Index,,
Northern Mariana Islands,Property Price to Income Ratio,,
Northern Mariana Islands,Traffic Commute Time Index,,
Northern Mariana Islands,Pollution Index,33.62,Low
Northern Mariana Islands,Quality of Life Index,,
Norway,Purchasing Power Index,96.31,High
Norway,Safety Index,66.69,High
Norway,Health Care Index,74.59,High
Norway,Climate Index,71.37,High
Norway,Cost of Living Index,102.42,High
Norway,Property Price to Income Ratio,8.48,Moderate
Norway,Traffic Commute Time Index,27.19,Low
Norway,Pollution Index,20.20,Low
Norway,Quality of Life Index,179.71,Very High
Oman,Purchasing Power Index,81.60,Moderate
Oman,Safety Index,78.55,High
Oman,Health Care Index,58.07,Moderate
Oman,Climate Index,67.22,High
Oman,Cost of Living Index,48.41,Low
Oman,Property Price to Income Ratio,9.63,Moderate
