country,parameter,value,rating
Oman,Traffic Commute Time Index,21.10,Very Low
Oman,Pollution Index,37.36,Low
Oman,Quality of Life Index,167.62,Very High
Pakistan,Purchasing Power Index,35.52,Very Low
Pakistan,Safety Index,56.09,Moderate
Pakistan,Health Care Index,60.27,High
Pakistan,Climate Index,72.99,High
Pakistan,Cost of Living Index,18.41,Very Low
Pakistan,Property Price to Income Ratio,13.89,High
Pakistan,Traffic Commute Time Index,38.06,Moderate
Pakistan,Pollution Index,74.53,High
Pakistan,Quality of Life Index,106.24,Moderate
Palestinian Territory,Purchasing Power Index,51.23,Low
Palestinian Territory,Safety Index,57.23,Moderate
Palestinian Territory,Health Care Index,59.44,Moderate
Palestinian Territory,Climate Index,,
Palestinian Territory,Cost of Living Index,53.87,Low
Palestinian Territory,Property Price to Income Ratio,4.86,Very Low
Palestinian Territory,Traffic Commute Time Index,47.33,High
Palestinian Territory,Pollution Index,66.60,High
Palestinian Territory,Quality of Life Index,,
Panama,Purchasing Power Index,37.91,Very Low
Panama,Safety Index,55.29,Moderate
Panama,Health Care Index,60.10,High
Panama,Climate Index,67.84,High
Panama,Cost of Living Index,52.87,Low
Panama,Property Price to Income Ratio,12.68,High
Panama,Traffic Commute Time Index,37.23,Moderate
Panama,Pollution Index,63.62,High
Panama,Quality of Life Index,110.46,High
Papua New Guinea,Purchasing Power Index,17.52,Very Low
Papua New Guinea,Safety Index,19.78,Very Low
Papua New Guinea,Health Care Index,16.50,Very Low
Papua New Guinea,Climate Index,,
Papua New Guinea,Cost of Living Index,84.20,Moderate
Papua New Guinea,Property Price to Income Ratio,95.74,Very High
Papua New Guinea,Traffic Commute Time Index,23.67,Very Low
Papua New Guinea,Pollution Index,70.18,High
Papua New Guinea,Quality of Life Index,,
Paraguay,Purchasing Power Index,34.51,Very Low
Paraguay,Safety Index,52.93,Moderate
Paraguay,Health Care Index,66.28,High
Paraguay,Climate Index,92.24,Very High
Paraguay,Cost of Living Index,33.71,Very Low
Paraguay,Property Price to Income Ratio,12.39,High
Paraguay,Traffic Commute Time Index,49.40,High
Paraguay,Pollution Index,59.45,Moderate
Paraguay,Quality of Life Index,117.44,High
Peru,Purchasing Power Index,36.84,Very Low
Peru,Safety Index,35.30,Low
Peru,Health Care Index,55.54,Moderate
Peru,Climate Index,97.69,Very High
Peru,Cost of Living Index,38.61,Very Low
Peru,Property Price to Income Ratio,14.77,High
Peru,Traffic Commute Time Index,49.16,High
Peru,Pollution Index,84.60,Very High
Peru,Quality of Life Index,87.56,Moderate
Philippines,Purchasing Power Index,26.63,Very Low
Philippines,Safety Index,58.87,Moderate
Philippines,Health Care Index,66.47,High
Philippines,Climate Index,60.81,High
Philippines,Cost of Living Index,37.04,Very Low
Philippines,Property Price to Income Ratio,23.80,Very High
Philippines,Traffic Commute Time Index,44.33,Moderate
Philippines,Pollution Index,74.45,High
Philippines,Quality of Life Index,87.65,Moderate
Poland,Purchasing Power Index,64.69,Low
Poland,Safety Index,68.05,High
Poland,Health Care Index,56.31,Moderate
Poland,Climate Index,75.81,High
Poland,Cost of Living Index,38.83,Very Low
Poland,Property Price to Income Ratio,11.17,Moderate
Poland,Traffic Commute Time Index,31.64,Low
Poland,Pollution Index,57.18,Moderate
Poland,Quality of Life Index,138.71,High
Portugal,Purchasing Power Index,52.34,Low
Portugal,Safety Index,69.88,High
Portugal,Health Care Index,71.70,High
Portugal,Climate Index,97.55,Very High
Portugal,Cost of Living Index,50.10,Low
Portugal,Property Price to Income Ratio,13.04,High
Portugal,Traffic Commute Time Index,29.34,Low
Portugal,Pollution Index,31.60,Low
Portugal,Quality of Life Index,163.29,Very High
Puerto Rico,Purchasing Power Index,91.36,Moderate
Puerto Rico,Safety Index,34.92,Low
Puerto Rico,Health Care Index,55.51,Moderate
Puerto Rico,Climate Index,,
Puerto Rico,Cost of Living Index,66.62,Moderate
Puerto Rico,Property Price to Income Ratio,3.06,Very Low
Puerto Rico,Traffic Commute Time Index,33.88,Low
Puerto Rico,Pollution Index,50.12,Moderate
Puerto Rico,Quality of Life Index,,
Qatar,Purchasing Power Index,115.85,Very High
Qatar,Safety Index,88.41,Very High
Qatar,Health Care Index,73.14,High
Qatar,Climate Index,36.03,Moderate
Qatar,Cost of Living Index,62.06,Low
Qatar,Property Price to Income Ratio,5.82,Low
Qatar,Traffic Commute Time Index,30.97,Low
Qatar,Pollution Index,61.63,High
Qatar,Quality of Life Index,163.21,Very High
Reunion,Purchasing Power Index,,
Reunion,Safety Index,77.02,High
Reunion,Health Care Index,71.30,High
Reunion,Climate Index,,
Reunion,Cost of Living Index,,
Reunion,Property Price to Income Ratio,8.91,Moderate
Reunion,Traffic Commute Time Index,0.00,Very Low
Reunion,Pollution Index,19.16,Very Low
Reunion,Quality of Life Index,,
Romania,Purchasing Power Index,53.36,Low
Romania,Safety Index,72.18,High
Romania,Health Care Index,55.00,Moderate
Romania,Climate Index,77.62,High
Romania,Cost of Living Index,35.72,Very Low
Romania,Property Price to Income Ratio,11.16,Moderate
Romania,Traffic Commute Time Index,34.87,Low
Romania,Pollution Index,56.78,Moderate
Romania,Quality of Life Index,135.29,High
Russia,Purchasing Power Index,42.87,Very Low
Russia,Safety Index,58.44,Moderate
Russia,Health Care Index,57.53,Moderate
Russia,Climate Index,41.64,Moderate
Russia,Cost of Living Index,38.25,Very Low
Russia,Property Price to Income Ratio,11.18,Moderate
Russia,Traffic Commute Time Index,45.24,High
Russia,Pollution Index,63.41,High
Russia,Quality of Life Index,103.36,Moderate
Rwanda,Purchasing Power Index,20.74,Very Low
Rwanda,Safety Index,78.54,High
Rwanda,Health Care Index,67.71,High
Rwanda,Climate Index,,
Rwanda,Cost of Living Index,33.75,Very Low
Rwanda,Property Price to Income Ratio,278.99,
Rwanda,Traffic Commute Time Index,16.00,Very Low
Rwanda,Pollution Index,39.66,Low
Rwanda,Quality of Life Index,,
Saint Kitts And Nevis,Purchasing Power Index,,
Saint Kitts And Nevis,Safety Index,66.18,High
Saint Kitts And Nevis,Health Care Index,,
Saint Kitts And Nevis,Climate Index,,
Saint Kitts And Nevis,Cost of Living Index,,
Saint Kitts And Nevis,Property Price to Income Ratio,,
Saint Kitts And Nevis,Traffic Commute Time Index,15.00,Very Low
Saint Kitts And Nevis,Pollution Index,,
Saint Kitts And Nevis,Quality of Life Index,,
Saint Lucia,Purchasing Power Index,,
Saint Lucia,Safety Index,43.24,Moderate
Saint Lucia,Health Care Index,47.69,Moderate
Saint Lucia,Climate Index,,
Saint Lucia,Cost of Living Index,,
Saint Lucia,Property Price to Income Ratio,,
Saint Lucia,Traffic Commute Time Index,7.00,Very Low
Saint Lucia,Pollution Index,42.36,Moderate
Saint Lucia,Quality of Life Index,,
Saint Vincent And The Grenadines,Purchasing Power Index,,
Saint Vincent And The Grenadines,Safety Index,64.50,High
Saint Vincent And The Grenadines,Health Care Index,30.56,Low
Saint Vincent And The Grenadines,Climate Index,,
Saint Vincent And The Grenadines,Cost of Living Index,,
Saint Vincent And The Grenadines,Property Price to Income Ratio,,
Saint Vincent And The Grenadines,Traffic Commute Time Index,,
Saint Vincent And The Grenadines,Pollution Index,,
Saint Vincent And The Grenadines,Quality of Life Index,,
Samoa,Purchasing Power Index,,
Samoa,Safety Index,52.70,Moderate
Samoa,Health Care Index,,
Samoa,Climate Index,,
Samoa,Cost of Living Index,,
Samoa,Property Price to Income Ratio,,
Samoa,Traffic Commute Time Index,,
Samoa,Pollution Index,47.93,Moderate
Samoa,Quality of Life Index,,
Saudi Arabia,Purchasing Power Index,109.92,High
Saudi Arabia,Safety Index,71.82,High
Saudi Arabia,Health Care Index,60.05,High
Saudi Arabia,Climate Index,41.42,Moderate
Saudi Arabia,Cost of Living Index,48.42,Low
Saudi Arabia,Property Price to Income Ratio,2.81,Very Low
Saudi Arabia,Traffic Commute Time Index,28.82,Low
Saudi Arabia,Pollution Index,66.10,High
Saudi Arabia,Quality of Life Index,151.58,Very High
Senegal,Purchasing Power Index,9.87,Very Low
Senegal,Safety Index,56.12,Moderate
Senegal,Health Care Index,47.22,Moderate
Senegal,Climate Index,,
Senegal,Cost of Living Index,44.63,Very Low
Senegal,Property Price to Income Ratio,318.73,
Senegal,Traffic Commute Time Index,18.33,Very Low
Senegal,Pollution Index,94.21,Very High
Senegal,Quality of Life Index,,
Serbia,Purchasing Power Index,37.21,Very Low
Serbia,Safety Index,62.21,High
Serbia,Health Care Index,52.07,Moderate
Serbia,Climate Index,83.23,Very High
Serbia,Cost of Living Index,35.75,Very Low
Serbia,Property Price to Income Ratio,19.60,Very High
Serbia,Traffic Commute Time Index,30.37,Low
Serbia,Pollution Index,58.23,Moderate
Serbia,Quality of Life Index,117.38,High
Seychelles,Purchasing Power Index,21.13,Very Low
Seychelles,Safety Index,62.49,High
Seychelles,Health Care Index,44.44,Moderate
Seychelles,Climate Index,,
Seychelles,Cost of Living Index,72.55,Moderate
Seychelles,Property Price to Income Ratio,19.19,Very High
Seychelles,Traffic Commute Time Index,50.00,High
Seychelles,Pollution Index,45.45,Moderate
Seychelles,Quality of Life Index,,
Singapore,Purchasing Power Index,87.63,Moderate
Singapore,Safety Index,71.66,High
Singapore,Health Care Index,71.07,High
Singapore,Climate Index,57.45,Moderate
Singapore,Cost of Living Index,78.98,Moderate
Singapore,Property Price to Income Ratio,23.27,Very High
Singapore,Traffic Commute Time Index,41.43,Moderate
Singapore,Pollution Index,32.03,Low
Singapore,Quality of Life Index,145.23,High
Sint Maarten,Purchasing Power Index,,
Sint Maarten,Safety Index,93.38,Very High
Sint Maarten,Health Care Index,56.02,Moderate
Sint Maarten,Climate Index,,
Sint Maarten,Cost of Living Index,,
Sint Maarten,Property Price to Income Ratio,24.82,Very High
Sint Maarten,Traffic Commute Time Index,0.00,Very Low
Sint Maarten,Pollution Index,83.48,Very High
Sint Maarten,Quality of Life Index,,
Slovakia,Purchasing Power Index,60.46,Low
Slovakia,Safety Index,70.99,High
Slovakia,Health Care Index,60.33,High
Slovakia,Climate Index,78.13,High
Slovakia,Cost of Living Index,44.36,Very Low
Slovakia,Property Price to Income Ratio,10.14,Moderate
Slovakia,Traffic Commute Time Index,28.26,Low
Slovakia,Pollution Index,40.69,Moderate
Slovakia,Quality of Life Index,154.03,Very High
Slovenia,Purchasing Power Index,66.92,Moderate
Slovenia,Safety Index,77.99,High
Slovenia,Health Care Index,63.75,High
Slovenia,Climate Index,76.11,High
Slovenia,Cost of Living Index,53.57,Low
Slovenia,Property Price to Income Ratio,10.80,Moderate
Slovenia,Traffic Commute Time Index,26.80,Low
Slovenia,Pollution Index,23.27,Low
Slovenia,Quality of Life Index,171.56,Very High
Solomon Islands,Purchasing Power Index,,
Solomon Islands,Safety Index,36.92,Low
Solomon Islands,Health Care Index,45.83,Moderate
Solomon Islands,Climate Index,,
Solomon Islands,Cost of Living Index,,
Solomon Islands,Property Price to Income Ratio,30.53,Very High
Solomon Islands,Traffic Commute Time Index,31.50,Low
Solomon Islands,Pollution Index,80.08,Very High
Solomon Islands,Quality of Life Index,,
Somalia,Purchasing Power Index,33.42,Very Low
Somalia,Safety Index,41.26,Moderate
Somalia,Health Care Index,42.11,Moderate
Somalia,Climate Index,,
Somalia,Cost of Living Index,38.65,Very Low
Somalia,Property Price to Income Ratio,345.95,
Somalia,Traffic Commute Time Index,25.00,Low
Somalia,Pollution Index,52.79,Moderate
Somalia,Quality of Life Index,,
South Africa,Purchasing Power Index,80.21,Moderate
South Africa,Safety Index,22.92,Low
South Africa,Health Care Index,63.27,High
South Africa,Climate Index,95.97,Very High
South Africa,Cost of Living Index,42.59,Very Low
South Africa,Property Price to Income Ratio,3.75,Very Low
South Africa,Traffic Commute Time Index,39.64,Moderate
South Africa,Pollution Index,56.18,Moderate
South Africa,Quality of Life Index,135.57,High
South Korea,Purchasing Power Index,96.64,High
South Korea,Safety Index,70.85,High
South Korea,Health Care Index,83.70,Very High
South Korea,Climate Index,68.39,High
South Korea,Cost of Living Index,74.81,Moderate
South Korea,Property Price to Income Ratio,17.04,Very High
South Korea,Traffic Commute Time Index,39.56,Moderate
South Korea,Pollution Index,54.91,Moderate
South Korea,Quality of Life Index,149.45,High
Spain,Purchasing Power Index,78.37,Moderate
Spain,Safety Index,68.70,High
Spain,Health Care Index,78.14,High
Spain,Climate Index,94.55,Very High
Spain,Cost of Living Index,54.02,Low
Spain,Property Price to Income Ratio,9.44,Moderate
Spain,Traffic Commute Time Index,29.20,Low
Spain,Pollution Index,39.27,Low
Spain,Quality of Life Index,172.85,Very High
Sri Lanka,Purchasing Power Index,25.15,Very Low
Sri Lanka,Safety Index,59.90,Moderate
Sri Lanka,Health Care Index,72.98,High
Sri Lanka,Climate Index,59.11,Moderate
Sri Lanka,Cost of Living Index,32.70,Very Low
Sri Lanka,Property Price to Income Ratio,29.47,Very High
Sri Lanka,Traffic Commute Time Index,57.07,High
Sri Lanka,Pollution Index,58.38,Moderate
Sri Lanka,Quality of Life Index,88.71,Moderate
Sudan,Purchasing Power Index,10.56,Very Low
Sudan,Safety Index,58.31,Moderate
Sudan,Health Care Index,56.11,Moderate
Sudan,Climate Index,,
Sudan,Cost of Living Index,40.00,Very Low
Sudan,Property Price to Income Ratio,20.83,Very High
Sudan,Traffic Commute Time Index,21.67,Very Low
Sudan,Pollution Index,61.37,High
Sudan,Quality of Life Index,,
Suriname,Purchasing Power Index,24.51,Very Low
Suriname,Safety Index,49.33,Moderate
Suriname,Health Care Index,40.67,Moderate
Suriname,Climate Index,,
Suriname,Cost of Living Index,39.49,Very Low
Suriname,Property Price to Income Ratio,6.65,Low
Suriname,Traffic Commute Time Index,27.00,Low
Suriname,Pollution Index,52.20,Moderate
Suriname,Quality of Life Index,,
Swaziland,Purchasing Power Index,33.71,Very Low
Swaziland,Safety Index,70.83,High
Swaziland,Health Care Index,61.11,High
Swaziland,Climate Index,,
Swaziland,Cost of Living Index,60.58,Low
Swaziland,Property Price to Income Ratio,3.11,Very Low
Swaziland,Traffic Commute Time Index,31.00,Low
Swaziland,Pollution Index,36.21,Low
Swaziland,Quality of Life Index,,
Sweden,Purchasing Power Index,110.73,Very High
Sweden,Safety Index,52.52,Moderate
Sweden,Health Care Index,69.53,High
Sweden,Climate Index,73.58,High
Sweden,Cost of Living Index,68.73,Moderate
Sweden,Property Price to Income Ratio,9.77,Moderate
Sweden,Traffic Commute Time Index,29.98,Low
Sweden,Pollution Index,17.47,Very Low
Sweden,Quality of Life Index,179.61,Very High
Switzerland,Purchasing Power Index,126.05,Very High
Switzerland,Safety Index,78.88,High
Switzerland,Health Care Index,73.24,High
Switzerland,Climate Index,79.24,High
Switzerland,Cost of Living Index,121.56,Very High
Switzerland,Property Price to Income Ratio,9.06,Moderate
Switzerland,Traffic Commute Time Index,29.00,Low
Switzerland,Pollution Index,21.73,Low
Switzerland,Quality of Life Index,195.36,Very High
Syria,Purchasing Power Index,12.13,Very Low
Syria,Safety Index,32.82,Low
Syria,Health Care Index,47.95,Moderate
Syria,Climate Index,,
Syria,Cost of Living Index,25.26,Very Low
Syria,Property Price to Income Ratio,65.02,Very High
Syria,Traffic Commute Time Index,22.40,Very Low
Syria,Pollution Index,70.73,High
Syria,Quality of Life Index,,
Taiwan,Purchasing Power Index,72.34,Moderate
Taiwan,Safety Index,83.83,Very High
Taiwan,Health Care Index,86.90,Very High
Taiwan,Climate Index,84.38,Very High
Taiwan,Cost of Living Index,58.52,Low
Taiwan,Property Price to Income Ratio,23.48,Very High
Taiwan,Traffic Commute Time Index,31.74,Low
Taiwan,Pollution Index,64.20,High
Taiwan,Quality of Life Index,145.73,High
Tajikistan,Purchasing Power Index,14.96,Very Low
Tajikistan,Safety Index,44.12,Moderate
Tajikistan,Health Care Index,35.19,Low
Tajikistan,Climate Index,,
Tajikistan,Cost of Living Index,27.06,Very Low
Tajikistan,Property Price to Income Ratio,20.85,Very High
Tajikistan,Traffic Commute Time Index,27.00,Low
Tajikistan,Pollution Index,55.76,Moderate
Tajikistan,Quality of Life Index,,
Tanzania,Purchasing Power Index,20.27,Very Low
Tanzania,Safety Index,39.58,Low
Tanzania,Health Care Index,53.10,Moderate
Tanzania,Climate Index,,
Tanzania,Cost of Living Index,34.93,Very Low
Tanzania,Property Price to Income Ratio,16.92,Very High
Tanzania,Traffic Commute Time Index,31.50,Low
Tanzania,Pollution Index,64.50,High
Tanzania,Quality of Life Index,,
Thailand,Purchasing Power Index,39.01,Very Low
Thailand,Safety Index,58.93,Moderate
Thailand,Health Care Index,78.45,High
Thailand,Climate Index,69.45,High
Thailand,Cost of Living Index,49.53,Low
Thailand,Property Price to Income Ratio,21.79,Very High
Thailand,Traffic Commute Time Index,38.25,Moderate
Thailand,Pollution Index,74.04,High
Thailand,Quality of Life Index,104.37,Moderate
Timor-Leste,Purchasing Power Index,7.02,Very Low
Timor-Leste,Safety Index,56.85,Moderate
Timor-Leste,Health Care Index,54.58,Moderate
Timor-Leste,Climate Index,,
Timor-Leste,Cost of Living Index,53.98,Low
Timor-Leste,Property Price to Income Ratio,42.86,Very High
Timor-Leste,Traffic Commute Time Index,25.00,Low
Timor-Leste,Pollution Index,59.89,Moderate
Timor-Leste,Quality of Life Index,,
Togo,Purchasing Power Index,,
Togo,Safety Index,60.27,High
Togo,Health Care Index,,
Togo,Climate Index,,
Togo,Cost of Living Index,,
Togo,Property Price to Income Ratio,6.75,Low
Togo,Traffic Commute Time Index,7.00,Very Low
Togo,Pollution Index,82.50,Very High
Togo,Quality of Life Index,,
Tonga,Purchasing Power Index,,
Tonga,Safety Index,33.98,Low
Tonga,Health Care Index,66.67,High
Tonga,Climate Index,,
Tonga,Cost of Living Index,,
Tonga,Property Price to Income Ratio,12.35,High
Tonga,Traffic Commute Time Index,,
Tonga,Pollution Index,,
Tonga,Quality of Life Index,,
Trinidad And Tobago,Purchasing Power Index,52.05,Low
Trinidad And Tobago,Safety Index,26.96,Low
Trinidad And Tobago,Health Care Index,53.35,Moderate
Trinidad And Tobago,Climate Index,,
Trinidad And Tobago,Cost of Living Index,54.44,Low
Trinidad And Tobago,Property Price to Income Ratio,6.02,Low
Trinidad And Tobago,Traffic Commute Time Index,48.81,High
Trinidad And Tobago,Pollution Index,67.65,High
Trinidad And Tobago,Quality of Life Index,,
Tunisia,Purchasing Power Index,36.96,Very Low
Tunisia,Safety Index,58.90,Moderate
Tunisia,Health Care Index,56.53,Moderate
Tunisia,Climate Index,93.24,Very High
Tunisia,Cost of Living Index,25.65,Very Low
Tunisia,Property Price to Income Ratio,11.39,Moderate
Tunisia,Traffic Commute Time Index,33.00,Low
Tunisia,Pollution Index,69.89,High
Tunisia,Quality of Life Index,120.88,High
Turkey,Purchasing Power Index,43.92,Very Low
Turkey,Safety Index,60.26,High
Turkey,Health Care Index,69.89,High
Turkey,Climate Index,93.26,Very High
Turkey,Cost of Living Index,35.66,Very Low
Turkey,Property Price to Income Ratio,8.76,Moderate
Turkey,Traffic Commute Time Index,44.47,Moderate
Turkey,Pollution Index,68.80,High
Turkey,Quality of Life Index,126.32,High
Turkmenistan,Purchasing Power Index,11.37,Very Low
Turkmenistan,Safety Index,58.98,Moderate
Turkmenistan,Health Care Index,52.04,Moderate
Turkmenistan,Climate Index,,
Turkmenistan,Cost of Living Index,91.98,High
Turkmenistan,Property Price to Income Ratio,30.35,Very High
Turkmenistan,Traffic Commute Time Index,14.33,Very Low
Turkmenistan,Pollution Index,34.83,Low
Turkmenistan,Quality of Life Index,,
Turks And Caicos Islands,Purchasing Power Index,,
Turks And Caicos Islands,Safety Index,58.60,Moderate
Turks And Caicos Islands,Health Care Index,69.44,High
Turks And Caicos Islands,Climate Index,,
Turks And Caicos Islands,Cost of Living Index,,
Turks And Caicos Islands,Property Price to Income Ratio,8.53,Moderate
Turks And Caicos Islands,Traffic Commute Time Index,,
Turks And Caicos Islands,Pollution Index,36.21,Low
Turks And Caicos Islands,Quality of Life Index,,
Uganda,Purchasing Power Index,22.06,Very Low
Uganda,Safety Index,43.60,Moderate
Uganda,Health Care Index,46.74,Moderate
Uganda,Climate Index,,
Uganda,Cost of Living Index,31.59,Very Low
Uganda,Property Price to Income Ratio,36.41,Very High
Uganda,Traffic Commute Time Index,42.40,Moderate
Uganda,Pollution Index,82.62,Very High
Uganda,Quality of Life Index,,
Ukraine,Purchasing Power Index,32.75,Very Low
Ukraine,Safety Index,51.06,Moderate
Ukraine,Health Care Index,51.06,Moderate
Ukraine,Climate Index,70.69,High
Ukraine,Cost of Living Index,31.38,Very Low
Ukraine,Property Price to Income Ratio,13.38,High
Ukraine,Traffic Commute Time Index,38.37,Moderate
Ukraine,Pollution Index,65.87,High
Ukraine,Quality of Life Index,103.00,Moderate
United Arab Emirates,Purchasing Power Index,98.28,High
United Arab Emirates,Safety Index,84.75,Very High
United Arab Emirates,Health Care Index,66.29,High
United Arab Emirates,Climate Index,45.23,Moderate
United Arab Emirates,Cost of Living Index,63.54,Low
United Arab Emirates,Property Price to Income Ratio,5.40,Low
United Arab Emirates,Traffic Commute Time Index,36.83,Moderate
United Arab Emirates,Pollution Index,52.85,Moderate
United Arab Emirates,Quality of Life Index,157.88,Very High
United Kingdom,Purchasing Power Index,98.47,High
United Kingdom,Safety Index,56.31,Moderate
United Kingdom,Health Care Index,74.14,High
United Kingdom,Climate Index,87.71,Very High
United Kingdom,Cost of Living Index,64.48,Low
United Kingdom,Property Price to Income Ratio,9.80,Moderate
United Kingdom,Traffic Commute Time Index,34.70,Low
United Kingdom,Pollution Index,40.59,Moderate
United Kingdom,Quality of Life Index,165.78,Very High
United States,Purchasing Power Index,116.75,Very High
United States,Safety Index,53.14,Moderate
United States,Health Care Index,69.15,High
United States,Climate Index,76.22,High
United States,Cost of Living Index,70.93,Moderate
United States,Property Price to Income Ratio,3.55,Very Low
United States,Traffic Commute Time Index,32.80,Low
United States,Pollution Index,35.93,Low
United States,Quality of Life Index,175.35,Very High
Uruguay,Purchasing Power Index,39.99,Very Low
Uruguay,Safety Index,47.08,Moderate
Uruguay,Health Care Index,66.19,High
Uruguay,Climate Index,98.04,Very High
Uruguay,Cost of Living Index,55.33,Low
Uruguay,Property Price to Income Ratio,15.92,High
Uruguay,Traffic Commute Time Index,40.12,Moderate
Uruguay,Pollution Index,45.16,Moderate
Uruguay,Quality of Life Index,127.07,High
Us Virgin Islands,Purchasing Power Index,53.64,Low
Us Virgin Islands,Safety Index,46.96,Moderate
Us Virgin Islands,Health Care Index,48.41,Moderate
Us Virgin Islands,Climate Index,,
Us Virgin Islands,Cost of Living Index,96.96,High
Us Virgin Islands,Property Price to Income Ratio,9.85,Moderate
Us Virgin Islands,Traffic Commute Time Index,15.00,Very Low
Us Virgin Islands,Pollution Index,10.63,Very Low
Us Virgin Islands,Quality of Life Index,,
Uzbekistan,Purchasing Power Index,24.97,Very Low
Uzbekistan,Safety Index,70.30,High
Uzbekistan,Health Care Index,50.61,Moderate
Uzbekistan,Climate Index,69.79,High
Uzbekistan,Cost of Living Index,25.70,Very Low
Uzbekistan,Property Price to Income Ratio,16.04,Very High
Uzbekistan,Traffic Commute Time Index,31.91,Low
Uzbekistan,Pollution Index,39.74,Low
Uzbekistan,Quality of Life Index,127.58,High
Vanuatu,Purchasing Power Index,,
Vanuatu,Safety Index,66.69,High
Vanuatu,Health Care Index,20.83,Low
Vanuatu,Climate Index,,
Vanuatu,Cost of Living Index,,
Vanuatu,Property Price to Income Ratio,6.81,Low
Vanuatu,Traffic Commute Time Index,,
Vanuatu,Pollution Index,40.14,Moderate
Vanuatu,Quality of Life Index,,
Venezuela,Purchasing Power Index,2.73,Very Low
Venezuela,Safety Index,15.19,Very Low
Venezuela,Health Care Index,40.17,Moderate
Venezuela,Climate Index,99.93,Very High
Venezuela,Cost of Living Index,26.94,Very Low
Venezuela,Property Price to Income Ratio,152.69,Very High
Venezuela,Traffic Commute Time Index,33.70,Low
Venezuela,Pollution Index,75.02,High
Venezuela,Quality of Life Index,0.00,Very Low
Vietnam,Purchasing Power Index,29.64,Very Low
Vietnam,Safety Index,51.74,Moderate
Vietnam,Health Care Index,55.24,Moderate
Vietnam,Climate Index,71.24,High
Vietnam,Cost of Living Index,38.14,Very Low
Vietnam,Property Price to Income Ratio,22.66,Very High
Vietnam,Traffic Commute Time Index,29.96,Low
Vietnam,Pollution Index,86.44,Very High
Vietnam,Quality of Life Index,84.48,Moderate
Yemen,Purchasing Power Index,15.40,Very Low
Yemen,Safety Index,27.81,Low
Yemen,Health Care Index,29.37,Low
Yemen,Climate Index,,
Yemen,Cost of Living Index,44.79,Very Low
Yemen,Property Price to Income Ratio,27.02,Very High
Yemen,Traffic Commute Time Index,15.00,Very Low
Yemen,Pollution Index,81.43,Very High
Yemen,Quality of Life Index,,
Zambia,Purchasing Power Index,67.04,Moderate
Zambia,Safety Index,60.23,High
Zambia,Health Care Index,53.19,Moderate
Zambia,Climate Index,,
Zambia,Cost of Living Index,34.92,Very Low
Zambia,Property Price to Income Ratio,267.68,
Zambia,Traffic Commute Time Index,28.40,Low
Zambia,Pollution Index,88.44,Very High
Zambia,Quality of Life Index,,
Zimbabwe,Purchasing Power Index,28.14,Very Low
Zimbabwe,Safety Index,46.16,Moderate
Zimbabwe,Health Care Index,41.65,Moderate
Zimbabwe,Climate Index,96.76,Very High
Zimbabwe,Cost of Living Index,54.56,Low
Zimbabwe,Property Price to Income Ratio,21.77,Very High
Zimbabwe,Traffic Commute Time Index,22.88,Very Low
Zimbabwe,Pollution Index,72.67,High
Zimbabwe,Quality of Life Index,96.14,Moderate
